,0-9,10-19,20-29,30-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,date
260,27,11,29,72,65,119,195,287,418,532,706,898,1639,2111,2519,2017-12-18
261,42,15,34,60,65,122,240,331,397,567,783,936,1753,2421,2646,2017-12-25
262,32,15,29,63,96,127,226,376,443,611,738,1007,1890,2601,2950,2018-01-01
263,40,9,29,63,79,118,230,315,443,594,807,1080,1819,2393,2886,2018-01-08
264,21,10,25,62,68,138,232,331,402,604,811,991,1860,2473,2953,2018-01-15
265,31,12,18,63,66,114,211,320,433,534,720,963,1768,2246,2825,2018-01-22
266,29,7,27,67,57,108,197,285,418,511,760,960,1714,2173,2580,2018-01-29
267,45,18,29,80,72,111,208,272,425,536,751,989,1654,2255,2570,2018-02-05
268,30,15,26,59,67,109,215,333,418,483,742,957,1694,2284,2673,2018-02-12
269,30,14,30,50,54,109,223,288,426,514,725,964,1597,2101,2531,2018-02-19
270,37,12,23,65,56,112,184,312,380,537,718,917,1611,2158,2477,2018-02-26
271,19,12,30,51,65,108,196,272,404,494,738,832,1565,2001,2416,2018-03-05
272,27,13,29,47,82,98,210,274,389,476,656,837,1521,1920,2283,2018-03-12
273,24,10,25,54,66,122,204,304,371,477,708,790,1376,1923,2162,2018-03-19
274,35,8,30,73,75,109,166,267,371,473,666,828,1443,1920,2164,2018-03-26
275,35,8,19,44,59,108,171,281,405,481,644,822,1402,1806,2129,2018-04-02
276,32,9,26,62,54,102,205,296,323,425,600,861,1422,1834,2084,2018-04-09
277,18,8,18,62,80,125,189,246,346,456,650,768,1325,1737,2084,2018-04-16
278,27,10,23,53,58,105,174,295,315,410,560,720,1312,1708,1965,2018-04-23
279,20,8,23,52,74,106,193,254,336,444,571,769,1206,1552,1751,2018-04-30
280,17,13,38,65,63,105,195,271,340,425,573,745,1263,1584,1898,2018-05-07
281,26,11,28,63,71,113,207,217,384,405,584,720,1207,1645,1830,2018-05-14
282,19,14,21,54,61,120,155,246,354,439,635,688,1254,1636,1831,2018-05-21
283,19,12,17,44,53,100,167,278,339,447,573,698,1224,1614,1721,2018-05-28
284,18,4,32,59,66,101,175,269,339,420,550,681,1248,1523,1624,2018-06-04
285,26,11,24,67,66,109,182,251,343,413,575,645,1165,1560,1717,2018-06-11
286,24,20,35,50,80,110,200,268,370,447,608,715,1283,1646,1857,2018-06-18
287,28,9,20,57,73,100,174,272,323,401,643,749,1289,1704,1856,2018-06-25
288,27,5,27,61,50,105,169,261,348,441,577,685,1155,1600,1794,2018-07-02
289,27,11,26,71,59,120,189,296,346,415,578,740,1179,1532,1777,2018-07-09
290,25,17,28,47,70,102,180,291,328,432,558,709,1194,1495,1710,2018-07-16
291,27,12,17,52,52,118,169,246,301,405,574,734,1198,1488,1762,2018-07-23
292,23,13,30,66,79,119,169,233,369,493,611,732,1224,1632,1938,2018-07-30
293,24,4,28,65,80,109,187,259,349,458,642,786,1308,1703,2001,2018-08-06
294,22,10,25,55,59,109,191,230,302,407,604,726,1153,1540,1761,2018-08-13
295,24,12,21,52,49,109,198,266,310,441,588,678,1159,1495,1613,2018-08-20
296,20,10,25,61,63,128,178,282,331,410,543,659,1081,1468,1668,2018-08-27
297,27,8,31,53,52,111,192,259,353,413,537,671,1111,1433,1655,2018-09-03
298,27,7,27,53,60,123,167,267,350,440,592,694,1084,1386,1557,2018-09-10
299,36,19,23,47,69,114,170,281,353,419,625,706,1107,1487,1697,2018-09-17
300,27,13,21,73,60,122,176,248,332,437,595,700,1171,1544,1711,2018-09-24
301,18,9,20,55,62,103,189,292,386,419,566,750,1139,1507,1695,2018-10-01
302,25,14,29,67,77,87,181,269,320,444,599,713,1210,1555,1847,2018-10-08
303,30,11,23,68,62,106,163,277,323,439,591,693,1167,1581,1816,2018-10-15
304,26,8,26,53,66,106,182,266,310,449,613,714,1204,1580,1724,2018-10-22
305,22,12,22,38,55,111,172,310,353,454,613,827,1224,1723,1858,2018-10-29
306,37,12,25,53,57,115,207,272,341,470,639,749,1297,1746,1992,2018-11-05
307,35,18,25,45,65,111,191,261,355,435,618,816,1289,1637,2098,2018-11-12
308,30,18,26,53,62,99,169,252,359,465,610,751,1236,1742,2060,2018-11-19
309,24,10,29,59,54,94,195,275,333,530,650,781,1215,1697,1983,2018-11-26
310,23,8,21,43,53,108,180,291,382,446,676,768,1297,1737,2018,2018-12-03
311,22,8,28,48,67,121,197,259,384,457,705,804,1330,1796,2086,2018-12-10
312,27,7,28,60,77,98,199,295,355,446,660,826,1364,1861,2124,2018-12-17
313,19,10,26,60,66,108,193,274,393,510,720,822,1387,1906,2156,2018-12-24
314,38,13,32,68,83,132,188,304,389,463,704,911,1493,2003,2306,2018-12-31
315,30,9,26,53,59,114,209,290,425,526,793,960,1674,2214,2643,2019-01-07
316,31,15,23,61,71,108,207,351,401,559,741,1034,1679,2371,2824,2019-01-14
317,15,8,22,53,78,126,217,297,443,503,751,997,1650,2281,2700,2019-01-21
318,32,17,25,51,51,115,196,330,415,536,794,916,1535,2241,2710,2019-01-28
319,24,11,25,57,55,125,225,308,386,553,743,938,1537,2151,2548,2019-02-04
320,28,9,29,55,75,111,198,318,411,486,734,892,1507,2060,2450,2019-02-11
321,27,10,32,59,78,117,190,247,418,526,704,851,1437,2056,2464,2019-02-18
322,29,14,24,49,62,108,208,268,415,487,668,859,1421,2009,2299,2019-02-25
323,27,10,18,65,42,108,202,284,364,470,745,847,1321,1859,2233,2019-03-04
324,29,13,22,55,65,121,167,235,337,437,668,828,1319,1776,2133,2019-03-11
325,20,8,26,55,57,101,200,282,347,452,639,813,1243,1785,1999,2019-03-18
326,33,3,21,44,74,104,206,263,375,458,647,819,1229,1776,2119,2019-03-25
327,31,9,21,63,49,101,167,260,349,481,653,818,1265,1834,1986,2019-04-01
328,28,8,30,64,50,111,180,298,405,448,671,823,1211,1720,2008,2019-04-08
329,19,12,27,49,49,102,181,267,300,437,588,854,1259,1623,2034,2019-04-15
330,21,13,16,46,53,113,162,259,359,437,608,760,1217,1726,1969,2019-04-22
331,27,13,29,39,51,88,180,249,352,432,608,760,1230,1713,1973,2019-04-29
332,18,13,20,56,58,116,175,286,360,444,555,818,1192,1642,1978,2019-05-06
333,21,10,21,60,56,111,143,240,364,428,603,770,1148,1597,1964,2019-05-13
334,28,15,25,61,57,102,169,259,326,424,616,744,1155,1569,1886,2019-05-20
335,19,14,30,52,70,98,186,276,377,441,631,737,1135,1687,1865,2019-05-27
336,19,14,27,56,55,124,167,284,361,438,602,792,1111,1632,1826,2019-06-03
337,24,8,18,56,50,101,185,256,341,411,537,705,1047,1501,1776,2019-06-10
338,23,10,25,35,52,105,193,280,349,450,624,724,1171,1538,1825,2019-06-17
339,23,7,21,64,60,105,180,268,365,461,591,747,1111,1600,1967,2019-06-24
340,33,8,33,54,67,110,178,271,372,471,657,815,1207,1717,2057,2019-07-01
341,25,14,29,56,62,116,155,241,360,400,602,766,1113,1609,1915,2019-07-08
342,19,17,29,49,62,106,224,273,382,376,575,701,1110,1552,1826,2019-07-15
343,26,6,29,55,61,107,147,234,378,395,608,756,1106,1608,1948,2019-07-22
344,23,10,28,55,61,86,208,289,364,416,570,749,1074,1466,1737,2019-07-29
345,22,11,25,63,54,127,189,245,346,426,604,730,1033,1591,1851,2019-08-05
346,17,7,25,58,61,105,177,268,316,431,615,680,1085,1456,1827,2019-08-12
347,31,13,22,52,55,107,173,251,343,399,568,708,1054,1482,1662,2019-08-19
348,25,15,20,66,73,110,167,218,354,409,599,698,1028,1445,1671,2019-08-26
349,20,14,16,60,46,111,205,284,345,383,572,731,1054,1463,1600,2019-09-02
350,13,8,26,48,63,108,164,259,332,424,605,742,1055,1427,1665,2019-09-09
351,27,4,24,54,61,112,167,243,352,480,561,685,1005,1498,1723,2019-09-16
352,16,16,16,40,49,129,193,252,356,436,575,749,1066,1400,1734,2019-09-23
353,29,9,21,49,60,108,194,287,359,407,542,740,1030,1455,1688,2019-09-30
354,32,14,31,56,53,110,187,277,369,421,580,743,1080,1543,1816,2019-10-07
355,20,10,21,49,67,92,201,275,332,418,610,758,1110,1577,1774,2019-10-14
356,25,4,30,67,60,110,171,277,345,488,572,754,1102,1685,1853,2019-10-21
357,14,13,27,47,67,101,183,257,345,446,604,776,1103,1717,1998,2019-10-28
358,16,16,17,45,68,130,206,285,362,471,619,823,1154,1636,1829,2019-11-04
359,22,16,25,46,63,103,190,301,363,441,650,846,1199,1750,2021,2019-11-11
360,24,13,22,41,58,121,186,267,383,480,666,817,1206,1753,2180,2019-11-18
361,32,11,20,57,51,97,195,301,332,491,658,898,1162,1803,2220,2019-11-25
362,33,14,28,47,62,104,208,277,367,450,626,812,1146,1696,2151,2019-12-02
363,32,10,18,53,63,100,177,303,377,468,703,814,1195,1766,2261,2019-12-09
364,33,9,23,56,63,114,204,300,350,455,646,838,1239,1835,2228,2019-12-16
365,36,12,29,73,46,97,206,283,349,463,665,841,1201,1796,2236,2019-12-23
366,22,6,28,68,81,108,199,273,395,481,704,904,1215,1908,2318,2019-12-30
367,32,15,29,59,61,109,210,286,390,516,678,955,1446,2062,2550,2020-01-06
368,30,14,24,65,55,120,212,343,420,536,768,1048,1471,2178,2633,2020-01-13
369,33,12,26,47,66,122,204,319,416,549,806,991,1469,2253,2641,2020-01-20
370,33,12,46,73,80,144,218,309,464,536,717,1048,1409,2234,2651,2020-01-27
371,40,7,32,56,70,106,210,293,420,523,695,933,1374,1915,2518,2020-02-03
372,27,9,40,53,67,101,166,299,385,483,698,937,1332,1903,2339,2020-02-10
373,29,5,23,55,71,115,195,309,363,458,665,894,1243,1798,2190,2020-02-17
374,22,11,25,62,55,123,194,266,376,472,621,821,1225,1807,2299,2020-02-24
375,25,10,23,62,58,116,180,278,384,484,657,911,1256,1862,2159,2020-03-02
376,22,9,26,56,53,121,204,297,424,521,757,1016,1424,2073,2478,2020-03-09
377,22,10,24,77,69,147,247,365,463,643,1058,1501,2103,2934,3180,2020-03-16
378,18,15,24,77,80,169,262,452,707,1022,1726,2545,3318,4432,4981,2020-03-23
379,21,6,31,62,70,153,278,441,681,945,1548,2339,3397,4921,6074,2020-03-30
380,29,8,23,65,72,138,215,360,509,769,1197,1745,2715,4131,5349,2020-04-06
381,23,9,20,50,55,134,222,365,491,613,904,1282,1972,3079,4025,2020-04-13
382,23,6,19,55,68,87,176,317,422,542,777,1028,1550,2312,3070,2020-04-20
383,11,13,17,49,62,101,186,278,418,493,713,915,1307,2008,2437,2020-04-27
384,24,6,27,59,70,116,190,285,402,484,689,855,1193,1813,2245,2020-05-04
385,13,8,23,57,67,96,178,271,389,425,616,844,1090,1641,1818,2020-05-11
386,12,9,17,50,58,103,187,290,398,464,630,810,1120,1544,1951,2020-05-18
387,29,14,26,56,61,120,201,295,345,464,563,768,1082,1627,1969,2020-05-25
388,27,6,19,58,73,104,173,254,351,441,614,722,1065,1449,1788,2020-06-01
389,22,14,19,69,57,109,171,271,355,393,555,732,1029,1394,1659,2020-06-08
390,16,11,22,64,54,100,187,242,331,433,548,721,1067,1503,1733,2020-06-15
391,25,13,25,47,62,104,177,280,375,428,620,798,1074,1514,1970,2020-06-22
392,24,15,30,47,71,99,170,278,390,481,612,761,1123,1592,1942,2020-06-29
393,20,6,23,61,65,110,176,300,347,472,589,792,1124,1658,1989,2020-07-06
394,26,14,25,53,70,99,188,274,340,466,586,783,1133,1583,1922,2020-07-13
395,32,13,22,51,52,98,183,278,393,432,591,814,1127,1726,2015,2020-07-20
396,30,8,37,62,82,104,201,321,369,479,636,876,1292,1846,2246,2020-07-27
397,20,11,31,56,73,107,205,272,360,457,606,877,1263,1760,2296,2020-08-03
398,13,14,44,64,62,102,192,288,381,498,625,845,1219,1706,2117,2020-08-10
399,17,13,40,68,68,119,189,263,382,433,618,795,1152,1691,2038,2020-08-17
400,30,13,39,70,75,114,209,302,393,466,617,868,1149,1623,1986,2020-08-24
401,13,11,24,74,66,95,217,310,374,467,625,820,1137,1636,1908,2020-08-31
402,23,11,28,56,75,117,170,281,406,432,647,877,1190,1680,2005,2020-09-07
403,25,15,15,63,77,109,216,265,348,461,696,855,1192,1771,2060,2020-09-14
404,25,11,30,57,80,122,178,294,382,472,635,922,1195,1656,2005,2020-09-21
405,20,9,33,52,60,122,193,288,408,527,656,859,1215,1757,1989,2020-09-28
406,19,10,23,68,64,118,187,332,440,504,694,913,1237,1850,2134,2020-10-05
407,21,14,19,44,66,127,194,255,421,507,698,931,1330,1822,2145,2020-10-12
408,19,20,21,62,78,142,214,298,403,560,761,987,1412,2055,2438,2020-10-19
409,16,9,26,54,61,111,170,325,481,559,782,1088,1435,2092,2387,2020-10-26
410,14,17,21,65,78,117,183,329,456,561,816,1091,1629,2251,2688,2020-11-02
411,20,9,25,52,69,112,196,308,473,558,814,1051,1550,2247,2546,2020-11-09
412,20,5,28,42,80,77,202,275,442,540,786,1067,1440,2204,2487,2020-11-16
413,21,9,23,54,58,109,210,272,433,549,778,1038,1448,2071,2461,2020-11-23
414,26,7,25,59,64,124,176,322,418,610,764,1017,1463,1992,2474,2020-11-30
415,17,11,28,66,64,121,184,304,460,561,779,974,1387,2076,2502,2020-12-07
416,30,11,23,62,75,100,220,257,458,566,745,947,1390,1996,2407,2020-12-14
417,27,9,33,54,64,105,192,297,450,492,737,948,1288,1946,2373,2020-12-21
418,6,6,12,29,46,69,114,205,267,303,435,573,778,1202,1417,2020-12-28
419,18,14,21,49,69,143,235,316,479,570,789,1135,1518,2323,2791,2021-01-04
420,13,10,23,75,56,121,204,371,529,657,871,1245,1804,2631,3248,2021-01-11
421,24,6,22,62,80,144,217,382,529,657,1007,1352,2126,2841,3501,2021-01-18
422,16,10,17,52,66,134,246,354,595,684,960,1353,2035,2866,3313,2021-01-25
423,24,11,23,57,66,122,213,362,539,655,950,1335,1753,2527,2934,2021-02-01
424,23,16,24,50,74,95,192,351,463,659,860,1149,1620,2198,2594,2021-02-08
425,23,4,26,56,76,111,238,331,459,617,769,1093,1364,1970,2351,2021-02-15
426,16,9,22,59,71,119,179,329,446,611,780,1055,1331,1835,2170,2021-02-22
427,17,20,26,58,76,109,195,290,409,545,736,974,1220,1748,2119,2021-03-01
428,19,15,32,64,60,105,183,284,399,547,708,968,1223,1685,2026,2021-03-08
429,24,11,25,56,71,115,171,248,397,507,652,910,1157,1730,2003,2021-03-15
430,25,6,19,58,54,103,204,297,423,509,707,874,1211,1682,2017,2021-03-22
431,23,12,27,60,75,99,165,284,418,495,646,993,1135,1676,2087,2021-03-29
432,24,11,21,51,53,114,183,276,392,515,652,878,1199,1715,1996,2021-04-05
433,15,11,17,61,63,114,188,262,392,524,696,863,1114,1641,1986,2021-04-12
434,21,8,38,60,62,102,184,285,413,494,667,905,1183,1656,2006,2021-04-19
435,23,8,25,56,52,101,192,281,438,483,672,835,1079,1661,1961,2021-04-26
436,22,15,23,42,81,108,176,295,409,520,682,912,1185,1567,2025,2021-05-03
437,24,18,27,51,68,111,170,276,378,501,669,843,1088,1596,1918,2021-05-10
438,23,11,25,63,60,102,175,296,363,462,636,819,1088,1570,1913,2021-05-17
439,21,15,23,41,64,90,187,277,371,493,615,865,1020,1536,1819,2021-05-24
440,22,7,26,55,64,112,175,288,393,470,588,767,1015,1498,1873,2021-05-31
441,17,8,23,65,64,97,201,272,365,504,598,769,1075,1640,2012,2021-06-07
442,16,11,25,58,62,99,172,248,394,487,622,796,1018,1631,2160,2021-06-14
443,33,9,27,64,61,108,167,296,383,440,597,774,1012,1498,1816,2021-06-21
444,23,22,36,55,65,104,166,289,379,494,585,806,1063,1610,1860,2021-06-28
445,27,17,29,46,91,120,161,293,349,457,599,813,1017,1585,1940,2021-07-05
446,26,15,36,63,60,115,175,256,402,448,633,841,1073,1519,1901,2021-07-12
447,16,13,21,71,59,112,193,305,390,520,666,911,1259,1757,2188,2021-07-19
448,30,14,34,66,63,111,184,273,400,508,632,907,1157,1776,2207,2021-07-26
449,20,19,24,61,65,123,190,305,429,551,645,910,1251,1793,2256,2021-08-02
450,21,12,25,57,69,110,185,293,423,533,698,931,1242,1976,2285,2021-08-09
451,32,16,26,65,60,129,188,317,441,513,679,911,1173,1826,2390,2021-08-16
452,31,11,26,62,56,102,180,304,373,488,646,876,1154,1725,2180,2021-08-23
453,28,13,30,66,63,112,189,302,414,500,626,829,1111,1572,2081,2021-08-30
454,20,12,30,62,60,129,193,276,387,457,686,808,1061,1702,2012,2021-09-06
455,29,9,35,57,48,113,206,288,378,440,626,828,1055,1533,1859,2021-09-13
456,24,7,39,47,66,107,184,260,382,469,595,821,1087,1458,1884,2021-09-20
457,29,8,28,54,56,93,170,298,390,416,645,770,1037,1614,1940,2021-09-27
458,26,14,22,55,64,105,158,271,375,476,652,855,1007,1555,1891,2021-10-04
459,20,8,35,57,63,108,167,266,361,479,649,823,1007,1591,1952,2021-10-11
460,19,7,26,51,66,97,162,277,384,448,575,831,1085,1593,2123,2021-10-18
461,33,21,18,66,58,112,178,269,406,499,641,938,1120,1650,2170,2021-10-25
462,20,15,21,45,68,103,178,283,389,484,597,848,1127,1578,2065,2021-11-01
463,31,12,24,59,59,106,181,287,445,498,732,943,1137,1813,2390,2021-11-08
464,17,10,29,44,58,104,187,296,415,558,688,915,1191,1873,2408,2021-11-15
465,25,16,35,58,69,105,204,254,424,536,701,915,1224,1903,2377,2021-11-22
466,24,15,29,72,65,114,220,294,436,561,726,991,1308,2001,2530,2021-11-29
467,18,2,26,43,46,104,189,317,433,503,732,897,1209,1999,2499,2021-12-06
468,21,11,35,57,72,127,204,307,473,580,768,989,1251,1978,2630,2021-12-13
469,26,7,34,73,72,113,190,357,466,614,735,1006,1364,2045,2678,2021-12-20
470,31,24,32,63,70,114,189,315,482,604,764,1107,1363,1984,2699,2021-12-27
471,28,17,32,64,80,109,215,338,458,595,802,1109,1312,2067,2704,2022-01-03
472,18,12,29,45,74,164,197,338,537,652,849,1097,1473,2265,2929,2022-01-10
473,20,9,27,64,60,117,216,335,509,606,862,1148,1489,2353,3028,2022-01-17
474,23,11,23,74,87,108,228,374,490,666,896,1216,1484,2392,3143,2022-01-24
475,39,9,21,68,67,144,223,336,458,661,816,1188,1408,2343,3114,2022-01-31
476,19,9,29,64,69,105,212,319,468,575,774,1065,1378,2174,2764,2022-02-07
477,29,9,29,62,61,109,184,295,437,566,782,980,1305,1929,2499,2022-02-14
478,21,11,30,56,71,99,174,310,418,548,731,968,1242,1921,2345,2022-02-21
479,28,15,22,58,73,137,177,315,424,520,716,891,1130,1792,2332,2022-02-28
480,22,12,21,40,74,112,168,262,373,515,695,1011,1118,1771,2304,2022-03-07
481,20,7,42,39,69,104,179,308,426,483,680,932,1119,1878,2239,2022-03-14
482,27,10,26,52,72,109,174,322,409,520,702,874,1128,1761,2344,2022-03-21
483,17,12,31,46,57,113,207,302,440,518,653,951,1076,1795,2282,2022-03-28
484,22,18,27,59,68,102,199,293,427,496,691,952,1148,1826,2381,2022-04-04
485,24,12,28,47,55,104,203,267,406,500,694,958,1174,1783,2444,2022-04-11
486,33,15,26,58,51,96,189,254,381,492,705,897,1123,1732,2347,2022-04-18
487,22,18,29,50,76,97,168,284,370,534,676,947,1119,1801,2308,2022-04-25
488,29,20,29,51,59,118,189,248,396,538,637,940,1163,1680,2393,2022-05-02
489,28,7,25,57,67,100,138,278,409,482,692,976,1186,1882,2485,2022-05-09
490,32,9,22,55,65,115,201,319,392,524,670,922,1158,1903,2515,2022-05-16
491,22,11,32,49,70,104,189,306,386,500,639,941,1111,1575,2289,2022-05-23
492,24,18,21,51,68,86,170,277,410,489,640,912,1119,1643,2203,2022-05-30
493,26,10,34,58,64,93,152,289,397,490,671,856,1111,1649,2280,2022-06-06
494,32,9,33,66,56,127,205,288,421,507,728,969,1219,1965,2730,2022-06-13
495,27,11,30,56,65,106,182,284,404,501,670,947,1145,1752,2396,2022-06-20
496,30,16,19,50,54,98,188,319,395,514,693,964,1154,1771,2324,2022-06-27
497,37,9,34,61,85,119,159,292,438,557,718,1002,1212,1845,2535,2022-07-04
498,16,15,28,71,63,125,219,347,447,552,777,1129,1459,2292,3330,2022-07-11
499,18,19,24,53,58,126,203,345,465,566,818,1208,1404,2341,3315,2022-07-18
500,31,13,32,74,59,117,201,309,427,545,698,1096,1365,2078,2856,2022-07-25
501,31,12,35,63,65,136,198,264,439,503,725,1017,1229,1971,2734,2022-08-01
502,25,12,28,61,72,127,197,298,438,535,656,1076,1226,1965,2586,2022-08-08
503,23,9,26,78,66,101,185,273,374,459,681,896,1033,1687,2180,2022-08-15
504,24,13,26,52,69,95,175,311,399,493,652,907,1061,1716,2143,2022-08-22
505,19,13,28,50,63,93,178,258,358,437,669,870,989,1653,2056,2022-08-29
506,26,18,30,62,60,97,173,279,426,496,626,893,998,1493,1967,2022-09-05
507,32,15,21,49,52,104,169,262,375,476,603,823,1074,1567,2001,2022-09-12
508,24,12,26,43,56,117,183,270,371,500,601,810,980,1554,1876,2022-09-19
509,33,17,18,49,70,98,152,306,381,489,633,871,991,1458,1966,2022-09-26
510,26,14,33,54,61,90,190,298,358,501,660,908,1039,1612,2127,2022-10-03
511,29,12,31,45,58,99,157,284,362,490,652,836,1072,1543,2129,2022-10-10
512,27,6,33,62,75,96,174,266,353,506,663,914,1015,1708,2289,2022-10-17
513,27,12,33,51,54,102,159,250,374,487,667,902,1094,1632,2154,2022-10-24
514,23,17,22,57,58,101,175,263,389,468,581,872,988,1544,2132,2022-10-31
515,32,14,18,58,49,111,184,318,434,514,643,909,1073,1643,2238,2022-11-07
516,19,15,34,53,54,94,185,286,425,518,666,944,1145,1708,2293,2022-11-14
517,21,9,25,56,55,94,182,284,407,556,694,938,1140,1669,2400,2022-11-21
518,26,23,35,55,79,99,198,285,425,504,760,1033,1201,1852,2461,2022-11-28
